original,disfluent,generated_text
What events are often associated with volcanism and igneous activity?,What events are often associated with topographic gradients sorry let me rephrase events  associated with volcanism and igneous activity?,What events are often associated with volcanism and igneous activity?
What project did Harvard halt due to the financial crisis?,Which no I mean what project did Harvard stop due to the financial crisis?,What project did Harvard halt due to the financial crisis?
Where does Khomeini's beliefs fall as compared to Mawdudi and Qutb?,Where does Sunni uh no Khomeini's beliefs fall as compared to Mawdudi and Qutb?,Where does Khomeini's beliefs fall as compared to Mawdudi and Qutb?
What was the US Air Force interested in? ,What was the RAND no the US Air Force interested in?,What was the US Air Force interested in?
What South African Vice Consul did Harvard students blockade the speech of? ,Who was no actually tell me what South African Vice Consul did Harvard students blockade the speech of?,What South African Vice Consul did Harvard students blockade the speech of?
What did the Zuider Zee brackish lagoon change into?,What did the river IJssel er instead Zuider Zee brackish lagoon change into?,What did the Zuider Zee brackish lagoon change into?
 What is colonialism's antithesis?,What is imperialism or uh I mean colonialism's antithesis?,What is colonialism's antithesis?
What problems did the Yuan dynasty have near its beginning?,What problems did the Yuan dynasty have near its end no rather beginning?, What problems did the Yuan dynasty have near its beginning?
What type of theater do the neighborhoods feature?,"What type of theater do towns, or no, the neighborhoods feature?",What type of theater do neighborhoods feature?
What is the region called that is the largest conurbation of the Rhine?,"What is the region called that is the largest conurbation of the Lippe, make that Rhine?",What is the region called that is the largest conurbation of the Rhine?
Who first proved Bertrand's postulate?,Who first proved Chebyshe or actually that was Bertrand's postulate?,Who first proved Bertrand's postulate?
Why did French feel they had right to Ohio claim?,"Why did Washington feel they had right to Ohio claim, no actually why did the French feel this way?",Why did French feel they had right to Ohio claim?
What applicants does the Carnegie Foundation want to have more support for?,Which kind of applicants is Harvard no sorry the Carnegie Foundation hoping to increase support for?,What kind of applicants is the Carnegie Foundation hoping to increase support for?
Pattern recognition receptors recognize components present in broad groups of what?,Pattern recognition receptors recognize innate immune no components present in broad groups of what?,Pattern recognition receptors recognize components present in broad groups of what?
One of FIS' agenda items was to force women to start doing what?,What does the acronym FIS no one of FIS' agenda items was to force women to start doing what?,One of FIS' agenda items was to force women to start doing what?
What ideas did the report in 1964 state? ,What ideas were stated in the 1962 no rather 1964 report?,What ideas were stated in the 1964 report?
What is not a cause of tumor antigens?,What is not a cause of immune surveillance no tumor antigens?,What is not a cause of tumor antigens?
What instrument is used to perform analogy and numerical experiments?,What instrument is used to orient or rather perform analogy and numerical experiments?,What instrument is used to perform analogy and numerical experiments?
What is the name of one type of modern algorithm test?,What is the name of one type of modern probability division uh I mean algorithm test?,What is the name of one type of modern algorithm test?
Who can legally teach English in India?,Who is allowed to run schools in India I mean to say who can legally teach English there?,Who can legally teach English in India?
How many troops were victorious for British in BAttle of Carillon?,How many allies no um troops were victorious for British in BAttle of Carillon?,How many troops were victorious for British in BAttle of Carillon?
When did the colonization of India occur?,European imperialism dagnabbit when did the colonization of India occur?,When did the colonization of India occur?
What was the Justinian plague epidemic called?,"What was the Great Pestilence, or actually the Justinian plague, epidemic called?",What was the Justinian plague epidemic called?
When were the Alps formed?,"When were the Baltics ugh what are words, Alps formed?",When were the Alps formed?
What two groups do trade unions think civil disobedience is justified against?,What two groups do trade unions decided non-governmental agencies or no actually civil disobedience is justified against?,What two groups do trade unions think civil disobedience is justified against?
What are some conditions that make the availability of skilled tradespeople vary?,What are some construction no um conditions that make the availability of skilled tradespeople vary?,What are some conditions that make the availability of skilled tradespeople vary?
"Along with 7 fraternities, how many sororities does the U of C have?","Along with 8 sorry no 7 fraternities, how many sororities does the U of C have?","Along with 7 fraternities, how many sororities does the U of C have?"
When was Europe's last major epidemic?,When was Spain or rather Europe's last major epidemic?,When was Europe's last major epidemic?
What do increased hormone levels cause in aging adults?,What do increased immune system sorry hormone levels cause in aging adults?,What do increased hormone levels cause in aging adults?
Who founded the Muslim Brotherhood?,Who believed in the necessity of government rule based on Shariah law no forget that and tell me who founded the Muslim Brotherhood?,Who founded the Muslim Brotherhood?
How high do plague fevers run?,When no sorry how high do plague fevers run?,How high do plague fevers run?
How are the particle forces and accelerations explained as by gauge bosons exchange?,How are the fundamental interactions no the particle forces and accelerations explained as by gauge bosons exchange?,How are the particle forces and accelerations explained as by gauge bosons exchange?
How many parts does the consideration of a bill in Stage 3 have?,How many stages no um parts does the consideration of a bill in Stage 3 have?,How many parts does the consideration of a bill in Stage 3 have?
Where does the IJssel and Nederrijn redistribute into?,How oh I mean where does the IJssel and Nederrijn redistribute into?,Where does the IJssel and Nederrijn redistribute into?
"The term imperialism has been applied to western countries, and which eastern county?","The term imperialism has been applied to southern no western countries, and which eastern county?","The term imperialism has been applied to western countries, and which eastern county?"
When was Montreal captured?,What time or better when was Montreal captured?,When was Montreal captured?
What formation was created because the erosion ceased?,How many or rather what formation was created because the erosion ceased?,What formation was created because the erosion ceased?
 How would one create an empire by means of non-Imperialism?,How would one create an empire by means of Colonialism no sorry non-Imperialism?,How would one create an empire by means of non-Imperialism?
Health problems were higher in places with higher levels of what?,How are no Health problems were higher in places with higher levels of what?,Health problems were higher in places with higher levels of what?
What Governor wasn't in charge of New France died in 1752?,"What Governor wasn't in charge of the Ohio territories, no not that; of New France, died in 1752?",What Governor wasn't in charge of New France died in 1752?
Where did support from governmental and religious groups come from?,Thousands of madrasahs or uh where did support from governmental and religious groups come from?,Where did support from governmental and religious groups come from?
Who allied in the French and Indian war?,Who allied in the Great Britain no French and Indian war?,Who allied in the French and Indian war?
What style were the mass constructed Palace blocks designed in?,Which rather what style were the mass constructed Palace blocks designed in?,What style were the mass constructed Palace blocks designed in?
How did the 2001 IPCC report compare to reality on temperature levels?,How did the 2001 IPCC report compare to reality on sea levels no not sea levels but to temperature levels?,How did the 2001 IPCC report compare to reality on temperature levels?
The design team is most commonly employed by who?,The design team is most commonly assembled by no sorry employed by who?,The design team is most commonly employed by who?
When did violence end in war?,How did er uh when did violence end in war?,When did violence end in war?
"In modern times, firms may offer themselves as what for a construction project?","In present umm actually in modern times, firms may offer themselves as what for a construction project?","In modern times, firms may offer themselves as what for a construction project?"
Thousands of madrasahs spawned what organization?,Thousands of madrasahs spawned what place wait organization?,Thousands of madrasahs spawned what organization?
The Hungarians performed this civil disobedience under the direction of what person?,The Austrian I mean the Hungarians performed this civil disobedience under the direction of what person?,The Hungarians performed this civil disobedience under the direction of what person?
Who has the responsibility for publishing materials?,Who has the responsibility for coordinating or um publishing materials?,Who has the responsibility for publishing materials?
When was the Central Pacific Railroad founded?,When was the Southern Pacific or no make that Central Pacific Railroad founded?,When was the Central Pacific Railroad founded?
MHC antigens on normal body cells are recognized by what receptor on NK cells?,MHC antigens on normal body cells are recognized by what receptor on KIR or I think they're called NK cells?,MHC antigens on normal body cells are recognized by what receptor on NK cells?
Warsaw's sidewalks and sanitation facilities are some examples of things which have what?,Warsaw's improvements are due to I mean the sidewalks and sanitation facilities are examples of things that have what?,Warsaw's sidewalks and sanitation facilities are examples of things that have what?
"Besides viniculture, what is the other dominate economic sector in the middle rhine?","Besides viniculture, what is the other epitome no the other dominate economic sector in the middle rhine?","Besides viniculture, what is the other dominate economic sector in the middle rhine?"
How high is the highest point in Warsaw?,How high is the highest point in Poland or no make that in Warsaw?,How high is the highest point in Warsaw?
What country no longer uses the Bowl of Hygieia as a symbol of pharmacy?,What country no longer uses the logo or uh the Bowl of Hygieia as a symbol of pharmacy?,What country no longer uses the Bowl of Hygieia as a symbol of pharmacy?
In what interval are some of the greatest primes without a distinct digit discovered in?,In what interval are some of the greatest primes without one type of computing method oops a distinct digit discovered in?,In what interval are some of the greatest primes without a distinct digit discovered in?
How can you protest against big companies in a non violent way?,How can you boycott big companies no tell me how you can protest big companies in a non violent way?,How can you protest against big companies in a non violent way?
What happens when all parts of a plant become infected?,What cells er what happens when all parts of a plant become infected?,What happens when all parts of a plant become infected?
One country's authority over a number of others would constitute the original country as what?,"When a country is the core and developing nations it controls is at the periphery, I'm trying to say what is it called when a state has political and economic authority over other nations?","When a state has political and economic authority over other nations, what is it called?"
TELENET and TRANSPAC were implemented with what?,DNIC er uh ELENET and TRANSPAC were implemented with what?,ELENET and TRANSPAC were implemented with what?
What does the genus Beroe usually live among as juveniles?,What does the genus Beroe usually develop as juveniles no live among?,What does the genus Beroe usually live among?
What is included in the data in connectionless mode?,What is included in the data in transport layer protocol no connectionless mode?,What is included in the data in connectionless mode?
In what year was the school renamed as Harvard College?,When was no in what year was the school renamed as Harvard College?,In what year was the school renamed as Harvard College?
What video game series did Alex Seropian make?,"What video game series did Philip Glass, no no I meant, Alex Seropian make?",What video game series did Alex Seropian make?
What types of medications do specialty pharmacies never stock?,How many drugs no what type of them do specialty pharmacies never stock?,What type of medications do specialty pharmacies never stock?
What aren't the Siouan-speaking tribes?,What aren't the British no the Siouan-speaking tribes?,What aren't the Siouan-speaking tribes?
What are the lithosphere and asthenosphere called when coupled together?,How are the no wait what are the lithosphere and asthenosphere called when coupled together?,What are the lithosphere and asthenosphere called when coupled together?
Where has the official home of the Scottish Parliament been since 2004?,"Where has the official home of Tony Kettle, oh not that uh, the Scottish Parliament been since 2004?",Where has the official home of the Scottish Parliament been since 2004?
How much of Europe's population was Jewish?,How much of Warsaw no no Europe's population was Jewish?,How much of Europe's population was Jewish?
How do platyctenids reproduce?,How do Ocryopsis er uh platyctenids reproduce?,How do platyctenids reproduce?
 what do conquering people take away from native populations?,"How would one, sorry, what do conquering people take away from native populations?",What do conquering people take away from native populations?
Why does Oxfam and Credit Suisse believe their findings are being accepted?,Why does the Los Angeles no the Oxfam and Credit Suisse believe their findings are being accepted?,Why does Oxfam and Credit Suisse believe their findings are being accepted?
What typically involves mass production of similar items without a designated purchaser?,"How much, uhh, what typically involves mass production of similar items without a designated purchaser?",What typically involves mass production of similar items without a designated purchaser?
What do ctenophore use to capture their prey?,What do bilaterians oops no ctenophore use to capture their prey?,What do ctenophore use to capture their prey?
Who does Cambridge say the expansion will benefit?,Who does Harvard er uh Cambridge say the expansion will benefit?,Who does Cambridge say the expansion will benefit?
People behaving with civil disobedience that is not-violent is said to make society have more of what?,"People behaving rebelliously are said to make society have more of what no let rephrase, what is said to make society have more of when people engage in nonviolent civil disobedience?",People behaving rebelliously are said to make society have more of what?
When did Temur rule?,When did the Duan no Temur rule?, When did Temur rule?
"There is some debate that there is a not correlation between capitalism, imperialism, and what?",What did Hobson argue that imperialism was no scratch that and tell me what apart from capitalism and imperialism do some argue that there is no correlation between these concepts?,There are some who argue that there is no correlation between capitalism and imperialism?
What do ctenophores have that no other animals have?,What do cnidarians no no tell me what ctenophores have that other animals don't have?,What do ctenophores have that other animals don't have?
Where is the lowest point of Warsaw located?,What is the no rather where is the lowest point of Warsaw located?,Where is the lowest point of Warsaw located?
Higher rates of health and social problems are just two of examples of effects from what?,Higher rates of health and social problems consume capital no are just two of examples of effects from what?,Higher rates of health and social problems are just two of examples of effects from what?
What procedures can lower the injury rate among construction workers in the EU?,What procedures can lower the injury rate among construction workers in the United States no the EU?,What procedures can lower the injury rate among construction workers in the EU?
How many auricles do plankton have?,How many tentacles no auricles do plankton have?,How many auricles do plankton have?
What shape are some of the buildings in the Parliament complex?,"What shape are some of the skylights, no, buildings in the Parliament complex?",What shape are some of the buildings in the Parliament complex?
Granting what status would allow private non-religious schools in the US to receive public funds?,Granting what control or uh status would allow private non-religious schools in the US to receive public funds?,Granting what status would allow private non-religious schools in the US to receive public funds?
What is one reason a labour problem happens and can't be funded?,Where is or make that what is one reason a labour problem happens and can't be funded?,What is one reason a labour problem happens and can't be funded?
What DNA astronaut is also a U of C alumni?,What prominent contributor no DNA astronaut is also a U of C alumni?,What DNA astronaut is also a U of C alumni?
What archdiocese is Market Square the seat of?,Which or no make that what archdiocese is Market Square the seat of?,What archdiocese is Market Square the seat of?
"In between French and British, what groups never controlled land?","In between French and British, what tribes uh rather groups never controlled land?","In between French and British, what groups never controlled land?"
In what year did a tropical storm cause a four day loss of power to Jacksonville?,In what year did a tropical storm cause a five I mean four day loss of power to Jacksonville?,In what year did a tropical storm cause a four day loss of power to Jacksonville?
What is unable to evade the immune system?,Who umm I mean what is unable to evade the immune system?,What is unable to evade the immune system?
When was Spanish takeover of Louisiana Territory incomplete?,Where oh sorry What year was Spanish takeover of Louisiana Territory incomplete?,What year was Spanish takeover of Louisiana Territory incomplete?
What type of scientist is Norman Cantor?,What type of scientist is Scott er rather Norman Cantor?,What type of scientist is Norman Cantor?
 What has the United Nations not claimed ISIL to be?,What has the United Nations claimed no sorry wait not claimed ISIL to be?,What has not claimed ISIL to be?
"colonial rule, or physical occupation of a territory is not an example of what kind of imperialism?",Imperialism or no make that colonial rule or physical occupation of a territory is not an example of what kind of imperialism?,colonial rule or physical occupation of a territory is not an example of what kind of imperialism?
"What do bathyctena chuni, euplokamis stationis and eurhamphaea vexilligera have in common?","Are most ctenophores, uh what do bathyctena chuni, euplokamis stationis and eurhamphaea vexilligera have in common?","What do bathyctena chuni, euplokamis stationis and eurhamphaea vexilligera have in common?"
"After apartheid, what types of schools are referred to as ""Model C"" schools?","After apartheid, what types of schools are not, oh wait, are referred to as \""Model C\"" schools?","After apartheid, what types of schools are referred to as ""Model C"" schools?"
During who's tenure was the University of Chicago Hospitals system destroyed?,During what year uh who's tenure was the University of Chicago Hospitals system destroyed?,During who's tenure was the University of Chicago Hospitals system destroyed?
What does the internal cavity contain?,What does the external I mean the internal cavity contain.,What does the internal cavity contain?
"What is the principle that states that with sedimentary rocks, inclusions must be older than the formation that contains them?","What is the matrix no nevermind I want to know the principle that states that with sedimentary rocks, inclusions must be older than the formation that contains them?","What is the principle that with sedimentary rocks, inclusions must be older than the formation that contains them?"
The Yuan was the first time all of China was ruled by whom?,The non-native Chinese no the Yuan was the first time all of China was ruled by whom?,The Yuan was the first time all of China was ruled by whom?
What does lack of education lead directly to?,How what does lack of education lead indirectly no directly to?,What does lack of education lead directly to?
Who predicted the existence of many other planets?,Who came up with the theory of relativity or rather who predicted the existence of many other planets?,Who predicted the existence of many other planets?
How quickly can fish larvae grow?,How did fish larvae accidentally get introduced into the two bodies of water no no just tell me how quickly can fish larvae grow?,How quickly can fish larvae grow?
What happened to schools after Chinese independence in 1957?,"What happened to curriculum after Chinese independence, oops I mean schools, what happened to them in 1957?",What happened to schools in 1957?
How many Frenchman won Battle of Carillon?,How many Native American er instead Frenchman won Battle of Carillon?,How many Frenchman won Battle of Carillon?
In what year did Alpha Phi Omega estimate that about 10% of students participated in sororities/fraternities?,When did no in what year did Alpha Phi Omega estimate that about 10% of students participated in sororities/fraternities?,In what year did Alpha Phi Omega estimate that about 10% of students participated in sororities/fraternities?
What is operated by Academic Colleges Group in Wanganui?,What is operated by the King's College no the Academic Colleges Group in Wanganui?,What is operated by Academic Colleges Group in Wanganui?
What is the most complex way to avoid the adaptive immune system?,"What is the most complex process, no, rather way to avoid the adaptive immune system?",What is the most complex way to avoid the adaptive immune system?
2 differences betwen X.25 and ARPNET CITA technologies ,2 differences between X.25 and SITA HLN technologies\\tor rather between  X.25 and ARPANET CITA?,2 differences between X.25 and ARPANET CITA technologies 
Which country besides the Cuba did the United states try to annex in 1898?,Which country besides the Cuba did the United states try to support no rather annex in 1898?,Which country besides the Cuba did the United states try to annex in 1898?
What scale does trade liberalization shift economic inequality from?,What scale does trade economist no rather liberalization shift economic inequality from?,What scale does trade liberalization shift economic inequality from?
How many people did Hamas kill between 2010 to 2017?,How many people did Hamas died no were killed between 2010 to 2017?,How many people did Hamas kill between 2010 to 2017?
Warsaw's National Museum is one of the most what?,What is Warsaw's National Museum most known for?,What is Warsaw's National Museum most known for?
Where is the Rhine Bridge?,Where is the Ludendorff no the Rhine Bridge?,Where is the Rhine Bridge?
In what month does the Harvard Crimson men's ice hockey team play?,In what body er instead in what month does the Harvard Crimson men's ice hockey team play?,In what month does the Harvard Crimson men's ice hockey team play?
 What book was Iqbal's eight English lectures published as?,What year sorry what book was Iqbal's eight English lectures published as?,What book was Iqbal's eight English lectures published as?
When were Joseph Schumpeter and Norman Angell at their most prolific writing period?,How oh rather when were Joseph Schumpeter and Norman Angell at their most prolific writing period?,When were Joseph Schumpeter and Norman Angell at their most prolific writing period?
When did building activity in the palaces and churches take place in the later decades of?,When did building activity occur on St. Kazimierz Church no let me rephrase when did building activity in the palaces and churches take place in the later decades of?,When did building activity in the palaces and churches take place in the later decades of?
What grew at the narrow point in the river under Spanish rule?,In what year was jacksonville the site of the French Colony that grew at the narrow point in the river under Spanish rule?,What year was jacksonville the site of the French Colony that grew at the narrow point in the river under Spanish rule?
Which type of rebellions are common in Scottish Parliament?,Which type of MSPs wait no rebellions are common in Scottish Parliament?,Which type of rebellions are common in Scottish Parliament?
What was the accepted length of the Rhine prior to 1932?,What was the accepted length of the Rhine prior to 20210 sorry uh 1932?,What was the accepted length of the Rhine prior to 1932?
What was the percentage of Non-Hispanic Whites in 2010? ,What was the population or uh instead the percentage of Non-Hispanic Whites in 2010?,What was the percentage of Non-Hispanic Whites in 2010?
Whose goals often still oppose the IPCC?,Whose goals states and governments often work in lockstep with er often still oppose the IPCC?,Whose goals often still oppose the IPCC?
What is the maximum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?,Name another country that permits physicians to give out drugs from within their practice no change that to what is the maximum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?,What is the maximum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?
Who are FDA laws against importing medications aimed at?,What is the country that no no wait I mean who are FDA laws against importing medications aimed at?,Who are FDA laws against importing medications aimed at?
What year did Iqbal return to Lahore?,What year did Jinnah or no make that Iqbal return to Lahore?,What year did Iqbal return to Lahore?
Who described Kublai's China to Europe?,"Who described Kublai's China to the Far East, oh no make that to Europe?",Who described Kublai's China to Europe?
What are most species of the genus Ocryopsis thought to be?,"Who, sorry, what are most species of the genus Ocryopsis thought to be?",What are most species of the genus Ocryopsis thought to be?
What astronomer worked for Kublai?,What astronomer worked for Yuan no um Kublai?,What astronomer worked for Kublai?
What is another country that permits physicians to give out drugs from within their practice?,Where are or what is another country that permits physicians to give out drugs from within their practice?,What is another country that permits physicians to give out drugs from within their practice?
What Harvard Alumni was the Palestine Prime Minister?,"At what venue, sorry, what Harvard Alumni was the Palestine Prime Minister?",What Harvard Alumni was the Palestine Prime Minister?
On what type of exponentiation does the prime logarithm key exchange depend on?,On what type of large prime numbers no no the exponentiation does the prime logarithm key exchange depend on?,On what type of exponentiation does the prime logarithm key exchange depend on?
What does the Sieve of Euclid do?,What does the Sieve of Eratosthenes sorry Euclid do?,What does the Sieve of Euclid do?
In which continent besides Asia were major gains made by the British Empire in the late 19th century?,In which resurgence oh no which continent besides Asia were major gains made by the British Empire in the late 19th century?,In which continent besides Asia were major gains made by the British Empire in the late 19th century?
What did the SNP publicly opine about the oil revenues?,What did the North Sea publicly opine about the oil revenues no what did the SNP?,What did the SNP publicly opine about the oil revenues?
In what year did Clay Bartlett donate land by Marshall Field?,In which year did John Rockefeller or no make that Clay Bartlett donate land by Marshall Field?,In which year did Clay Bartlett donate land by Marshall Field?
When did the KMJ-TV first broadcast?,When did the KFSN or uh KMJ-TV first broadcast?,When did KMJ-TV first broadcast?
What kinds of sciences were Social Darwinism and theories of race?,"In which, or rather, what kinds of sciences were Social Darwinism and theories of race?",What kinds of sciences were Social Darwinism and theories of race?
What was the Australian public X.75 network operated by Telstra?,What was the Australian public  X.25 er X.75 network operated by Telstra?,What was the Australian public X.75 network operated by Telstra?
"What had Bhutto planned on approving within six months, before he was overthrown?","What had General Zia-ul-Haq, uh no, make that Bhutto planned on approving within six months, before he was overthrown?","What had Bhutto planned on approving within six months, before he was overthrown?"
 What nominal title did Yuan emperors reject?,What nominal title Mongol or no make that Yuan emperors reject?, What nominal title did Yuan emperors reject?
Rocks on top of a fault that are cut are always older or younger than the fault itself?,What principle or uh like instead rocks on top of a fault that are cut are always older or younger than the fault itself?,Rocks on top of a fault that are cut are always older or younger than the fault itself?
When did Europe slowly begin to warm up from the last Ice Age?,How did or no make that when did Europe slowly begin to warm up from the last Ice Age?,When did Europe slowly begin to warm up from the last Ice Age?
How many people weren't in British North American Colonies?,How many people weren't in European or no rather in British North American Colonies?,How many people weren't in British North American Colonies?
How many research institutes does the university run on campus?,How many museums no no um research institutes does the university run on campus?,How many research institutes does the university run on campus?
When did Kublai attack Xiangyang?,When did Kublai strengthen his government in northern China swap that to attack Xiangyang?, When did Kublai attack Xiangyang?
Natural killer cells recognize cells that should be targeted by a condition known as what?,What do NK cells protect no wait I meant to say that Natural killer cells recognize cells that should be targeted by a condition known as what?,Natural killer cells recognize cells that should be targeted by a condition known as what?
What future Revolutionary key figures never participated in this attack?,What retreat did the no the future Revolutionary key figures never participated in this attack?,What future Revolutionary key figures never participated in this attack?
What percentage of Scotland's voting population failed to actually vote?,How did er what percentage of Scotland's voting population failed to actually vote?,What percentage of Scotland's voting population failed to actually vote?
What does Piketty feel was the biggest factors in reducing inequality between 1941 to 1945?,"What does Piketty feel was the biggest factors in reducing growth, scratch that, inequality between 1941 to 1945?",What does Piketty feel was the biggest factors in reducing inequality between 1941 to 1945?
What is one general concept that applies to elements of general xy?,What is one general element sorry no concept that applies to elements of general xy?,What is one general concept that applies to elements of general xy?
What type of city has Warsaw been for as long as it's been a city?,"When were, oh uh, what type of city has Warsaw been for as long as it's been a city?",What type of city has Warsaw been for as long as it's been a city?
What isn't the profession of Jake Rosenfield?,What college was Jake Rosenfield associated with or rather what isn't his profession?,What isn't Jake Rosenfield's profession?
How many were killed by plague in Naples in 1656?,How many were killed by plague in Naples in 1665 oops no make that 1656?,How many were killed by plague in Naples in 1656?
When was the most important discovery about thermal boundaries made?,When was the most important discovery about Earth's lithosphere no um thermal boundaries made?,When was the most important discovery about thermal boundaries made?
Does a packet of data have physical mass?,What is a packet of data like does it weigh anything or have physical mass?,Does a packet of data have physical mass?
What city served as Poland's capital in 1313?,"What city served as Poland's court in 1313, I mean it's capital?",What city served as Poland's capital in 1313?
When did colonial governors meet with General Edward Braddock about attack on the french?,When did British operations no the colonial governors meet with General Edward Braddock about attack on the french?,When did colonial governors meet with General Edward Braddock about attack on the french?
How many US presidents are alumni of the school?,How many Nobel laureates are alumni of the school no how many US presidents?,How many US presidents are alumni of the school?
 Imperialism is less often associated with which sovereignty?,"Imperialism is less often associated with which policies, no no, with which sovereignty?",Imperialism is less often associated with which sovereignty?
What are usually the last cells to arrive at the scene of an infection?,Which are or no make that what are usually the last cells to arrive at the scene of an infection?,What are usually the last cells to arrive at the scene of an infection?
What are beroids more similar to than other bilaterians?,What are beroids more similar to than other cnidarians no bilaterians?,What are beroids more similar to than other bilaterians?
"Though Turabi proclaimed his rejection for the democratic process, he strictly applied what after coming into power?","Though Turabi proclaimed his support for the democratic process, he strictly applied what after coming into power no correction though he proclaimed his rejection for the democratic process, what did he strictly apply after he came into his own, no i mean power?","Though Turabi proclaimed his rejection for the democratic process, he strictly applied what after coming into power?"
What is the enrollment of undergraduates at Harvard?,How many undergraduate hold on no What is the enrollment of undergraduates at Harvard?,What is the enrollment of undergraduates at Harvard?
What were the three parts of Kublai's government?,Which were What were the three parts of Kublai's government?,What were the three parts of Kublai's government?
What are new responsibilities pharmacy technicians now deal with?,What are new responsibilities pharmacy technicians never deal with or rather which ones do they now have to deal with?,What are new responsibilities pharmacy technicians now deal with?
What does not compete with commensal flora for food and space?,How does or no rather what does not compete with commensal flora for food and space?,What does not compete with commensal flora for food and space?
"Aside from 12 research centers, how many research institutes does the U of C operate?","Aside from 14 no sorry 12 research centers, how many research institutes does the U of C operate?","Aside from 12 research centers, how many research institutes does the U of C operate?"
How wide are the Jura Mountains?,How wide are the Vosges Mountains no the Jura Mountains?,How wide are the Jura Mountains?
How didn't Natives in Logstown take Celeron's information?,How did Natives in Logstown take Celoron's information or rather how didn't they take it?,How didn't Natives in Logstown take Celeron's information?
"Along with Muslims, Jews and Protestant Christians, what religious group notably operates private schools?","Along with Muslims, Jews and Protestant Christians, what category erm religious group notably operates private schools?","Along with Muslims, Jews and Protestant Christians, what religious group notably operates private schools?"
"What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?","What stretched or covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?","What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?"
What is the process in which neutrophils move towards the site of inflammation called?,What is the process in which phagocytes or rather in which neutrophils move towards the site of inflammation called?,What is the process in which neutrophils move towards the site of inflammation called?
The flushing action of what expels pathogens from the eyes?,What ejects pathogens from the gastrointestinal tract no sorry what expels pathogens from the eyes through a flushing action?,What expels pathogens from the eyes through a flushing action?
What does pharmacy legislation never mandate?,What does pharmacy legislation never deal with ohh I mean mandate?,What does pharmacy legislation never mandate?
Persistent unemployment has what effect on short-term economic growth?,"Persistent unemployment has what effect on inequality, no make that, on short-term economic growth?",Persistent unemployment has what effect on short-term economic growth?
Did ARPANET develop the first system to make hosts responsible for delivery of data?,Did CYCLADES sorry I mean ARPANET develop the first system to make hosts responsible for delivery of data?,Did ARPANET develop the first system to make hosts responsible for delivery of data?
What can decelerate particles close to the speed of light?,What can accelerate no no decelerate particles close to the speed of light?,What can decelerate particles close to the speed of light?
What are phagocytes in tissues that only have contact with the internal environment called?,What are phagocytes in tissues that only have contact with the dentric cells no internal environment called?,What are phagocytes in tissues that only have contact with the internal environment called?
What was the Six Years War?,When was no What was the Six Years War?,What was the Six Years War?
Newtonian mechanisms are the definition of what?,The conceptual  no Newtonian mechanisms are the definition of what?,Newtonian mechanisms are the definition of what?
What aid is available to underprivileged students seeking to attend a private university?,What scheme or uh aid is available to underprivileged students seeking to attend a private university?,What aid is available to underprivileged students seeking to attend a private university?
What was Warsaw's Old Town listed as in 1980?,What archdiocese nope I meant to saw what was Warsaw's Old Town listed as in 1980?,What was Warsaw's Old Town listed as in 1980?
What cells do not play a role in long-term active memory?,What artificial er first tell me what cells do not play a role in long-term active memory?,What cells do not play a role in long-term active memory?
WHat were features of Apple Talk ,What was Apple Talk no rather its features?,What was Apple Talk 
What organization was responsible for setting up the IPCC?,Which or no rather what organization was responsible for setting up the IPCC?,What organization was responsible for setting up the IPCC?
What author argues pitching the conscience versus the collective?,What did the government refuse to pay or rather which author argues pitching the conscience versus the collective?,Which author argues pitching the conscience versus the collective?
 What did the Hamas charter compromisingly encourage?,Where does uh maybe what did the Hamas charter compromisingly encourage?,What did the Hamas charter compromisingly encourage?
What is activated before the innate response in vertebrates?,"What is activated before the innate defenses, no like response in vertebrates?",What is activated before the innate response in vertebrates?
What does not have a metric counterpart?,"What is the force, no wait, what doesn't have a metric counterpart?",What doesn't have a metric counterpart?
What kind of storms are common in the fall?,What kind of storms are common in the summer err I mean fall?,What kind of storms are common in the fall?
What is the boundary between the High and Upper Rhine? ,What is the bend  no What is the boundary between the High and Upper Rhine?,What is the boundary between the High and Upper Rhine?
What defenses respond to pathogens in a specific way?,When do or actually tell me What defenses respond to pathogens in a specific way?,What defenses respond to pathogens in a specific way?
What kind of status comes with going to a public school in Australia?,What kind of status comes with going to a private or wait public school in Australia?,What kind of status comes with going to a public school in Australia?
When was the Palace on the Water rebuilt?,When did building activity occur was the Palace on the Water rebuilt?,When was the Palace on the Water rebuilt?
Stephen Eilmann demonstrates covert law breaking in Nazi Germany.   Citizen's illegally had been doing what? ,Stephen Eilmann demonstrates covert law breaking in Nazi Germany. Citizen's  had been doing what illegally?,Stephen Eilmann demonstrates covert law breaking in Nazi Germany. Citizen's had been doing what illegally?
Why was NSFBNS created?,Why was vBNS or no make that NSFBNS created?,Why was NSFBNS created?
What is the name of one algorithm useful for conveniently testing the primality of decimal digits?,What is the thing or no the name of one algorithm useful for conveniently testing the primality of decimal digits?,What is the name of one algorithm useful for conveniently testing the primality of decimal digits?
